customer_phone,city_id,dob
+(84)945447187,6,22/01/1999
+(84)943721194,25,23/04/1998
+(84)908847126,30,02/04/1992
+(84)903541698,5,18/09/2003
+(84)926583843,18,06/04/2004
+(84)587644132,11,02/06/1994
+(84)904247526,25,25/07/1997
+(84)853164871,32,26/04/2004
+(84)946171332,2,14/07/1992
+(84)926192464,28,29/11/2003
+(84)853475596,12,04/02/1992
+(84)779246181,19,13/05/2003
+(84)778152777,32,02/12/2005
+(84)922183797,20,03/05/1999
+(84)586387737,7,08/10/1997
+(84)854398767,15,19/01/2002
+(84)772922268,16,07/03/2003
+(84)924458617,9,01/05/1990
+(84)974933324,26,06/09/2000
+(84)854923164,4,21/06/2004
+(84)904291344,26,23/10/2002
+(84)853244855,5,15/01/1995
(+84)341647423,4,10/04/1990
(+84)342884887,26,02/07/1995
(+84)347545371,25,07/10/1994
